ClientId: 1003
Phone 5/14
MovieRental 4/16
Phone 11/9
Lamp 9/21
Lamp 9/23
Phone 2/15
Shoes 1/14
Song 11/22
MovieRental 4/8
Lamp 6/24
Phone 4/21
Textbook 10/22
Shoes 6/9
Textbook 1/15
MovieRental 7/10
Phone 3/8
Lamp 1/1
Song 6/21
Blu-Ray 3/9
Lamp 11/15
Song 1/3
Phone 2/26
Textbook 10/13
MovieRental 8/1
MovieRental 12/22
Phone 8/24
Song 12/10
Shoes 12/15
Blu-Ray 3/1
Shoes 3/18
Phone 2/9
Shoes 8/8
MovieRental 3/2
Phone 11/1
MovieRental 11/11
Lamp 10/25
Lamp 12/18
Textbook 3/2
Phone 4/16
Blu-Ray 4/13
Textbook 9/19
Lamp 9/13
MovieRental 3/14
Shoes 5/12
Blu-Ray 4/6
Phone 2/9
Shoes 8/23
Song 6/13
Textbook 8/10
Blu-Ray 1/7
Song 9/1
Phone 2/14
Lamp 9/18
Phone 6/17
Phone 10/19
Lamp 8/22
Song 1/23
Lamp 8/26
Shoes 9/21
MovieRental 10/2
Song 10/15
Lamp 3/19
Song 11/14
Phone 2/12
Song 11/25
Textbook 9/23
Phone 11/25
Phone 5/14
Shoes 8/16
Shoes 9/6
Blu-Ray 11/24
MovieRental 4/7
Lamp 6/6
MovieRental 10/8
Textbook 6/6
Shoes 8/25
Textbook 7/14
Textbook 2/7
Shoes 9/16
Blu-Ray 3/3
MovieRental 8/1
Textbook 10/16
Phone 2/8
Lamp 4/19
Textbook 1/5
Shoes 10/6
Song 3/10
Phone 8/21
Phone 1/16
Phone 1/12
MovieRental 4/15
Phone 6/25
Phone 8/16
Blu-Ray 6/5
Lamp 9/21
Phone 9/3
Blu-Ray 5/8
Shoes 11/25
Blu-Ray 3/24
MovieRental 2/11
Blu-Ray 10/2
Blu-Ray 1/12
Shoes 6/16
Phone 12/5
Shoes 11/20
Blu-Ray 10/13
Song 8/2
Textbook 4/10
Blu-Ray 3/15
Lamp 11/11
Song 8/24
Shoes 10/17
Song 11/11
Phone 4/19
Lamp 6/21
Song 2/7
Lamp 3/20
Shoes 8/20
Textbook 10/22
Lamp 5/8
Blu-Ray 8/12
MovieRental 7/11
Blu-Ray 12/23
Blu-Ray 4/2
Phone 12/18
Blu-Ray 8/13
Lamp 8/8
Blu-Ray 3/2
Blu-Ray 5/23
