ClientId: 1029
Blu-Ray 1/10
Textbook 5/25
Textbook 11/11
MovieRental 4/1
Lamp 9/26
Phone 3/25
Song 8/9
Textbook 10/7
Blu-Ray 8/7
Phone 4/7
Textbook 9/19
MovieRental 3/9
MovieRental 8/10
Lamp 11/3
Blu-Ray 8/22
Textbook 3/12
Blu-Ray 2/5
Textbook 3/26
Song 8/6
Shoes 8/13
Shoes 4/22
Phone 10/14
Textbook 12/5
Textbook 3/2
Blu-Ray 9/6
Song 4/17
Shoes 5/26
Blu-Ray 10/14
Blu-Ray 4/4
Shoes 4/26
Textbook 12/2
Song 5/26
MovieRental 1/19
Lamp 9/7
Lamp 6/21
Lamp 7/3
Song 8/21
Textbook 10/6
Song 5/17
Blu-Ray 9/3
Blu-Ray 1/9
Phone 7/16
Textbook 12/6
Song 10/8
Blu-Ray 1/2
Song 12/18
Textbook 11/9
Shoes 5/25
Lamp 12/13
Shoes 8/12
Song 9/11
MovieRental 3/12
Phone 10/4
Song 11/4
Blu-Ray 2/23
Shoes 10/21
Phone 8/7
Shoes 10/19
MovieRental 2/13
Song 4/24
MovieRental 12/9
Blu-Ray 8/5
MovieRental 8/26
Textbook 1/13
Phone 1/3
Textbook 2/11
Blu-Ray 8/7
Song 3/19
Blu-Ray 10/18
Blu-Ray 12/22
Lamp 8/9
Textbook 11/12
Song 12/6
Phone 11/4
MovieRental 6/7
Textbook 5/12
Song 11/26
Shoes 11/17
Shoes 3/8
Blu-Ray 10/20
Song 11/14
Blu-Ray 9/25
Shoes 7/11
Phone 7/22
Textbook 2/5
Blu-Ray 6/25
Textbook 6/24
MovieRental 6/6
Phone 7/5
Phone 3/14
Textbook 7/23
MovieRental 12/11
Phone 7/11
Blu-Ray 1/7
Lamp 8/14
Textbook 10/25
Lamp 7/10
MovieRental 6/4
Blu-Ray 10/10
Phone 9/5
Phone 10/15
Textbook 10/20
Textbook 3/3
Blu-Ray 1/17
MovieRental 6/4
Lamp 12/10
MovieRental 2/12
Song 10/16
Song 7/2
Phone 9/8
Blu-Ray 10/4
Shoes 5/24
MovieRental 3/19
Shoes 10/18
Blu-Ray 12/20
MovieRental 2/16
Shoes 1/7
Phone 10/19
Lamp 7/2
Blu-Ray 4/22
Song 5/12
Lamp 11/14
MovieRental 9/25
Blu-Ray 3/13
Song 2/15
Blu-Ray 3/6
Phone 1/20
Phone 2/20
Shoes 4/19
Textbook 12/5
Lamp 4/17
Textbook 9/20
Lamp 12/12
Textbook 4/18
Song 1/25
Song 1/26
Textbook 9/13
Phone 2/7
Blu-Ray 1/26
Lamp 3/20
Song 8/12
MovieRental 9/21
Phone 8/8
Lamp 3/24
Shoes 8/11
Textbook 3/10
Song 9/3
Shoes 5/20
Lamp 1/14
Song 12/14
Lamp 5/16
Shoes 11/14
Textbook 8/25
MovieRental 6/4
Textbook 8/10
Phone 9/17
Phone 5/2
Blu-Ray 1/17
Lamp 10/11
Shoes 12/17
MovieRental 4/21
Song 3/15
Song 5/21
Song 10/2
Shoes 12/16
Textbook 1/7
Shoes 7/26
Blu-Ray 9/22
Phone 10/7
Lamp 1/17
MovieRental 2/3
Textbook 9/2
Song 7/17
Phone 8/3
Textbook 7/8
Phone 10/26
Textbook 10/23
Shoes 9/9
Phone 1/3
Shoes 4/20
Shoes 9/18
Shoes 8/8
Textbook 5/21
Blu-Ray 3/12
Shoes 3/7
Lamp 8/9
MovieRental 3/25
Song 6/14
Song 6/4
Textbook 4/24
Phone 7/2
Shoes 9/23
Song 11/14
Blu-Ray 9/25
Song 6/22
Song 1/13
Blu-Ray 3/10
Phone 2/17
Song 3/20
Lamp 1/24
Shoes 5/13
Lamp 1/7
Shoes 11/10
Shoes 3/2
Song 3/22
MovieRental 9/4
Textbook 9/7
Song 1/9
Blu-Ray 5/22
MovieRental 10/16
Textbook 10/11
Blu-Ray 3/5
Lamp 2/23
Shoes 8/23
Phone 5/11
Lamp 4/5
Lamp 9/14
Lamp 10/19
Textbook 7/1
Blu-Ray 6/7
MovieRental 4/5
Lamp 11/23
Blu-Ray 12/17
Textbook 7/22
Song 9/4
Phone 9/18
Blu-Ray 2/11
Shoes 6/4
Blu-Ray 5/10
Phone 6/10
Lamp 10/12
Song 11/14
Song 10/1
Blu-Ray 6/2
Shoes 1/19
Song 11/22
Textbook 12/25
Phone 9/14
Textbook 4/7
Lamp 9/12
Blu-Ray 1/1
MovieRental 11/10
Song 1/24
Song 9/17
Textbook 3/5
Phone 11/25
Textbook 3/24
Song 3/2
MovieRental 8/14
Shoes 2/14
Shoes 4/11
Lamp 8/4
Phone 8/4
Textbook 10/12
Lamp 5/3
Song 9/23
Blu-Ray 10/17
MovieRental 3/2
Shoes 11/19
Song 5/9
Shoes 9/11
Lamp 9/9
Lamp 5/10
Blu-Ray 5/11
Textbook 5/23
Blu-Ray 9/6
MovieRental 3/17
Lamp 11/13
Blu-Ray 11/22
Phone 12/4
Blu-Ray 6/8
Textbook 3/21
Shoes 6/19
