ClientId: 1026
MovieRental 9/2
Phone 12/7
Shoes 3/1
Textbook 10/4
Phone 12/16
MovieRental 2/16
Lamp 2/1
Blu-Ray 2/26
Phone 3/16
Textbook 4/4
Lamp 5/18
Textbook 2/25
MovieRental 3/6
MovieRental 6/24
Phone 6/6
Shoes 12/17
MovieRental 7/16
Phone 6/18
Blu-Ray 7/8
Phone 1/2
Textbook 7/26
Shoes 7/4
Song 12/26
Phone 7/16
Shoes 3/23
Shoes 5/2
MovieRental 7/19
Song 5/6
Textbook 7/1
Phone 9/1
Phone 1/26
Shoes 7/26
Shoes 4/10
Song 12/4
MovieRental 7/19
Phone 10/15
Phone 12/2
Shoes 11/10
Song 12/17
Song 4/15
Song 12/10
Lamp 11/1
MovieRental 5/15
Shoes 2/16
Lamp 10/14
Phone 7/5
Lamp 8/8
Lamp 12/10
Shoes 3/25
Lamp 8/11
Lamp 2/8
Song 4/23
MovieRental 10/11
Blu-Ray 11/10
Lamp 7/13
Blu-Ray 10/19
MovieRental 6/2
Blu-Ray 2/19
Song 8/9
Song 7/4
Textbook 11/13
MovieRental 4/16
Song 7/12
Textbook 7/10
MovieRental 7/13
Song 3/16
Shoes 8/7
Shoes 1/8
Textbook 5/7
Song 6/6
MovieRental 1/11
Blu-Ray 3/18
Phone 7/21
MovieRental 12/15
Song 1/3
Song 9/20
Phone 9/15
Phone 12/19
Blu-Ray 2/16
Blu-Ray 8/26
Blu-Ray 7/11
Phone 2/6
Shoes 12/12
Textbook 11/17
Song 4/15
Blu-Ray 7/9
Textbook 10/17
Blu-Ray 1/10
Shoes 1/24
Blu-Ray 9/5
Shoes 2/5
Phone 8/17
MovieRental 12/4
Blu-Ray 2/12
Lamp 9/10
Song 7/9
Lamp 5/12
Textbook 3/18
Song 10/1
MovieRental 11/2
MovieRental 11/7
Phone 2/21
Blu-Ray 5/1
Textbook 1/19
Lamp 9/17
Textbook 9/4
Phone 9/11
Textbook 1/19
MovieRental 8/3
Shoes 2/19
Blu-Ray 10/8
Blu-Ray 2/15
MovieRental 1/17
MovieRental 8/23
Blu-Ray 5/5
Song 7/12
Lamp 12/8
Lamp 6/25
Song 9/12
Lamp 4/25
Phone 12/4
MovieRental 3/26
Textbook 11/10
Song 10/6
Lamp 7/6
Textbook 7/16
Blu-Ray 7/6
Shoes 1/16
Shoes 10/2
Lamp 6/14
Lamp 9/24
Blu-Ray 4/4
Lamp 1/22
Lamp 7/17
MovieRental 3/23
Phone 5/5
Textbook 1/13
Shoes 3/24
Lamp 9/10
MovieRental 10/14
Song 7/18
Lamp 8/18
Song 8/18
MovieRental 1/20
Phone 5/23
Blu-Ray 10/21
Phone 5/13
Textbook 11/10
Song 8/14
Phone 1/8
MovieRental 9/16
Blu-Ray 12/23
Phone 4/13
MovieRental 5/12
Shoes 9/20
Blu-Ray 2/22
MovieRental 12/9
Lamp 2/2
Textbook 8/24
MovieRental 11/11
MovieRental 11/24
Blu-Ray 10/16
Phone 9/11
Song 11/10
Blu-Ray 1/12
Shoes 10/23
MovieRental 8/17
Blu-Ray 3/4
Blu-Ray 3/18
Textbook 6/9
Phone 9/1
Song 10/8
Shoes 1/19
Textbook 3/22
Textbook 11/17
MovieRental 5/5
Textbook 1/4
Song 7/15
Song 8/13
Shoes 12/6
Shoes 2/9
Blu-Ray 7/19
MovieRental 2/6
Textbook 11/7
Textbook 12/11
Shoes 1/2
Shoes 10/6
Phone 7/17
MovieRental 3/26
MovieRental 3/10
Textbook 12/19
Blu-Ray 4/18
Blu-Ray 10/24
Song 12/7
Lamp 6/8
Textbook 9/3
Song 1/15
Song 2/12
Shoes 11/4
Blu-Ray 3/21
MovieRental 4/11
Lamp 3/16
Song 5/6
Song 3/10
Shoes 11/10
Shoes 5/6
Blu-Ray 12/21
Shoes 6/21
Song 3/10
Blu-Ray 5/21
Textbook 6/15
Shoes 10/26
Lamp 7/8
Textbook 12/11
