ClientId: 1022
Phone 9/12
Phone 7/26
Phone 3/22
Lamp 7/6
Shoes 3/12
Shoes 5/19
Phone 10/13
Song 1/26
Phone 7/20
Song 10/24
Phone 7/21
MovieRental 6/9
Lamp 3/18
MovieRental 2/19
Phone 6/21
Lamp 8/13
Textbook 1/21
Song 1/17
Phone 9/1
Song 6/23
Lamp 7/13
Lamp 2/10
Song 1/2
Shoes 1/16
Blu-Ray 3/26
Blu-Ray 4/25
MovieRental 12/20
Song 6/21
Shoes 5/7
Song 4/8
Lamp 4/22
Shoes 8/16
Blu-Ray 12/22
Song 11/15
Textbook 3/6
Textbook 12/16
Textbook 9/18
Lamp 8/8
Lamp 6/16
Textbook 3/5
Textbook 3/22
Phone 1/7
Shoes 4/18
Shoes 11/21
Textbook 12/11
Phone 3/18
Phone 8/22
Blu-Ray 6/1
Shoes 1/6
Phone 7/20
Blu-Ray 6/23
Lamp 4/1
Textbook 4/12
Shoes 5/9
Lamp 7/10
Lamp 4/22
Shoes 4/21
Phone 1/11
Blu-Ray 1/7
MovieRental 7/11
Lamp 10/22
Song 6/5
MovieRental 5/26
Lamp 6/17
MovieRental 8/26
Lamp 3/22
Phone 9/15
Textbook 6/10
Phone 3/2
Shoes 2/3
MovieRental 5/15
Textbook 9/11
Textbook 1/14
Lamp 3/14
MovieRental 2/13
MovieRental 12/16
Shoes 5/20
MovieRental 11/3
Phone 11/18
Blu-Ray 11/5
Phone 2/26
Blu-Ray 8/26
Phone 11/12
Song 1/2
Blu-Ray 12/20
Textbook 6/11
Textbook 2/19
Shoes 10/14
Lamp 6/24
Lamp 11/22
Shoes 7/23
Textbook 11/17
MovieRental 2/13
MovieRental 4/2
Blu-Ray 11/8
Textbook 1/13
Phone 6/8
MovieRental 11/20
Lamp 12/5
Shoes 9/1
Textbook 12/12
Lamp 9/4
Lamp 7/17
Lamp 9/3
MovieRental 5/26
Phone 5/13
Textbook 1/26
Phone 5/15
Lamp 7/12
Lamp 10/24
Blu-Ray 5/5
Blu-Ray 12/17
Lamp 2/25
MovieRental 3/12
Lamp 12/6
Song 10/4
Shoes 3/22
Song 5/9
Shoes 6/24
Song 2/11
Song 4/21
MovieRental 3/6
Blu-Ray 1/14
Textbook 12/4
Song 8/25
MovieRental 10/14
Phone 8/22
MovieRental 11/13
Lamp 5/4
Lamp 8/17
Blu-Ray 5/8
Song 10/9
Song 5/15
Lamp 7/22
Phone 4/11
Song 5/12
MovieRental 5/12
MovieRental 2/6
Shoes 4/5
Lamp 6/24
Shoes 4/19
Lamp 4/15
Shoes 5/22
Blu-Ray 5/14
Textbook 3/2
Shoes 12/2
Blu-Ray 4/25
Lamp 9/22
Blu-Ray 10/4
Shoes 2/7
Blu-Ray 3/16
Lamp 9/7
Phone 4/5
Shoes 9/16
Phone 9/24
Lamp 8/20
Blu-Ray 9/3
Blu-Ray 2/8
Phone 1/15
MovieRental 2/22
Shoes 8/11
MovieRental 1/17
Shoes 7/2
Shoes 11/20
Blu-Ray 8/14
Blu-Ray 2/8
Lamp 5/23
Song 1/19
Lamp 11/7
