ClientId: 1035
MovieRental 8/2
Blu-Ray 4/16
Song 9/14
Phone 4/2
Blu-Ray 8/5
Shoes 4/10
Shoes 12/9
Textbook 6/4
Phone 12/2
Blu-Ray 5/22
Shoes 2/9
Shoes 2/15
Song 4/21
Blu-Ray 6/4
Shoes 3/24
MovieRental 8/7
Song 1/26
Textbook 5/14
Phone 8/12
Song 12/13
Phone 11/1
Lamp 5/10
Textbook 1/25
Blu-Ray 8/22
Textbook 8/15
Phone 3/21
Lamp 5/3
Lamp 3/26
Textbook 7/8
Song 5/5
Blu-Ray 8/5
Textbook 6/26
Lamp 11/10
Lamp 12/1
Textbook 6/24
MovieRental 11/16
Textbook 7/13
MovieRental 12/1
Shoes 12/15
Phone 3/10
Blu-Ray 8/4
Phone 4/10
Blu-Ray 10/21
Textbook 5/11
MovieRental 2/20
Song 8/24
Song 12/5
Phone 1/20
Blu-Ray 7/7
Shoes 4/2
Shoes 2/16
MovieRental 10/1
Song 5/19
MovieRental 10/18
Phone 11/24
