ClientId: 1030
Blu-Ray 9/21
Shoes 4/14
Shoes 4/5
Song 8/26
Shoes 10/21
Song 7/11
Textbook 5/12
Blu-Ray 4/1
MovieRental 2/12
Phone 9/10
Textbook 3/12
Song 9/12
MovieRental 3/20
Lamp 10/3
Phone 11/18
Lamp 5/21
Shoes 5/9
Blu-Ray 2/20
Textbook 1/13
Textbook 12/8
Textbook 3/13
Song 7/24
Phone 8/23
Lamp 12/16
Song 4/18
Phone 10/5
Lamp 2/19
Shoes 7/17
Lamp 1/20
Blu-Ray 5/18
Song 2/2
Textbook 2/8
Textbook 8/24
Textbook 6/16
Song 8/5
MovieRental 4/15
MovieRental 4/12
Textbook 11/15
Textbook 2/16
Shoes 1/24
Shoes 9/24
Lamp 10/21
Blu-Ray 1/13
Lamp 2/14
Shoes 9/16
Shoes 3/15
Textbook 12/18
Lamp 10/22
Song 4/18
Textbook 8/5
MovieRental 9/19
Blu-Ray 11/17
Song 4/12
MovieRental 1/11
MovieRental 10/17
Blu-Ray 11/13
MovieRental 8/8
Shoes 6/2
Shoes 10/14
Textbook 10/23
MovieRental 11/7
Textbook 3/2
Song 5/21
Phone 12/4
Shoes 7/2
Phone 3/10
Song 8/24
Shoes 9/6
Blu-Ray 11/11
Textbook 1/9
Textbook 9/9
Blu-Ray 10/26
Blu-Ray 2/26
Textbook 8/18
Phone 7/18
Blu-Ray 10/1
Lamp 1/11
Textbook 1/8
Shoes 1/15
Song 9/18
Shoes 12/22
Shoes 8/12
Textbook 8/11
Textbook 4/5
Song 3/9
Textbook 11/6
Shoes 1/18
Lamp 4/5
Blu-Ray 1/24
Song 3/17
Lamp 9/13
Lamp 6/19
Shoes 2/22
Lamp 1/22
Blu-Ray 4/15
Textbook 4/6
Textbook 4/17
Phone 4/17
Textbook 4/22
Textbook 5/4
Textbook 2/2
Textbook 3/13
Phone 3/11
Phone 6/9
Lamp 5/9
Phone 1/22
Lamp 5/21
Phone 1/23
Shoes 9/18
Textbook 6/14
Blu-Ray 12/12
Song 8/10
Blu-Ray 9/10
Lamp 12/8
Shoes 2/7
Phone 7/18
Shoes 9/17
Song 7/16
Textbook 12/23
Phone 10/13
Lamp 12/16
Textbook 11/20
Blu-Ray 9/4
Shoes 3/7
Shoes 6/10
Shoes 11/19
Shoes 10/17
Shoes 8/19
Textbook 7/24
Blu-Ray 4/9
MovieRental 2/15
Phone 10/25
Textbook 10/26
Blu-Ray 7/11
MovieRental 2/9
Lamp 5/24
Shoes 9/13
Song 4/16
Shoes 6/14
MovieRental 11/4
Song 1/17
Blu-Ray 4/21
Blu-Ray 11/15
Blu-Ray 9/26
Textbook 3/16
MovieRental 7/16
Phone 6/1
MovieRental 5/23
Blu-Ray 1/24
MovieRental 11/9
Shoes 3/16
Phone 6/12
Blu-Ray 4/20
Song 8/8
Lamp 6/16
Blu-Ray 9/25
Phone 4/17
MovieRental 9/23
