ClientId: 1019
Phone 5/22
Phone 6/16
Lamp 4/18
Shoes 3/5
Blu-Ray 7/7
Textbook 1/5
Shoes 7/16
Textbook 3/18
Song 10/26
Song 3/24
Blu-Ray 12/14
Song 4/12
Lamp 10/2
Lamp 1/21
Song 9/17
Shoes 10/22
Phone 1/1
Textbook 12/10
MovieRental 6/8
Textbook 11/18
MovieRental 10/5
Textbook 11/21
Lamp 9/19
Lamp 7/4
Textbook 2/13
Shoes 10/12
Lamp 1/14
Lamp 11/23
Blu-Ray 10/24
Lamp 2/26
Song 6/23
Song 5/26
Shoes 7/24
MovieRental 8/26
Phone 5/17
Blu-Ray 10/4
Blu-Ray 4/9
Lamp 8/15
MovieRental 8/17
Shoes 11/1
Lamp 11/12
Textbook 3/12
Blu-Ray 10/24
Blu-Ray 3/26
MovieRental 8/24
MovieRental 2/15
Blu-Ray 9/6
Shoes 10/22
Phone 5/11
Song 11/10
Shoes 7/7
Textbook 12/7
Lamp 10/18
MovieRental 7/16
Lamp 11/4
Shoes 6/14
Lamp 5/23
Song 5/21
Lamp 9/8
MovieRental 1/10
MovieRental 9/20
Shoes 8/1
Textbook 3/22
Song 5/8
Lamp 1/23
Shoes 4/21
Blu-Ray 9/6
Shoes 8/21
Song 1/24
MovieRental 11/16
MovieRental 2/15
Blu-Ray 4/25
Textbook 2/9
Shoes 4/1
Phone 4/24
Phone 12/4
Lamp 7/6
Shoes 1/20
Lamp 9/24
Song 6/5
Blu-Ray 12/9
Shoes 2/15
Song 1/12
Textbook 3/14
Shoes 6/25
Lamp 7/16
Textbook 1/11
Phone 7/13
Blu-Ray 12/17
Lamp 11/25
Lamp 1/13
Textbook 4/23
Phone 9/24
Blu-Ray 7/17
Lamp 6/8
Phone 8/17
Lamp 11/15
Phone 9/6
Lamp 11/18
Lamp 6/2
MovieRental 4/25
Lamp 1/20
Song 3/25
Phone 2/21
Lamp 4/5
Song 6/25
Song 4/9
Blu-Ray 8/22
Blu-Ray 5/5
Textbook 7/1
Lamp 6/13
Phone 3/4
Textbook 7/18
Textbook 5/1
Song 2/19
Blu-Ray 3/7
Shoes 4/6
Song 1/6
Shoes 11/20
Phone 4/26
Lamp 11/23
Lamp 3/12
Phone 4/19
Song 12/25
Textbook 12/20
Phone 6/1
Textbook 5/17
Phone 4/14
Phone 8/11
MovieRental 12/23
Blu-Ray 3/6
MovieRental 11/13
MovieRental 3/3
MovieRental 10/15
Textbook 1/21
MovieRental 9/10
Textbook 5/11
MovieRental 5/16
Lamp 9/19
MovieRental 6/10
Shoes 5/24
Textbook 7/16
Blu-Ray 9/3
Shoes 7/16
Lamp 1/7
MovieRental 4/6
Song 12/20
Blu-Ray 5/25
Lamp 3/14
Phone 1/26
Phone 1/16
Blu-Ray 4/5
Shoes 12/2
Lamp 11/22
Phone 7/4
Blu-Ray 12/1
Lamp 7/18
MovieRental 10/12
Song 6/11
Blu-Ray 7/6
Textbook 5/1
Phone 5/17
Song 2/24
Shoes 4/17
Song 5/6
Lamp 7/11
Lamp 2/9
Song 1/9
Blu-Ray 8/4
Phone 4/24
Song 4/1
MovieRental 11/12
Phone 3/21
MovieRental 9/14
MovieRental 4/2
Lamp 7/13
Song 12/14
Textbook 6/21
Song 3/22
Phone 8/20
Song 10/1
MovieRental 9/3
Lamp 11/18
Textbook 8/1
Lamp 5/15
Lamp 5/21
Shoes 5/13
Lamp 8/20
Phone 11/25
Song 6/22
Shoes 2/7
Blu-Ray 12/12
Shoes 2/7
Blu-Ray 4/16
Phone 11/22
Song 9/20
Phone 10/21
Textbook 11/7
Phone 12/15
Textbook 2/20
Blu-Ray 10/9
Song 8/25
Shoes 12/2
Lamp 2/16
Phone 7/25
Shoes 2/8
Blu-Ray 8/9
Song 7/6
MovieRental 5/23
Blu-Ray 8/2
Blu-Ray 10/16
Lamp 1/20
Lamp 4/20
Lamp 3/26
MovieRental 8/18
Song 6/5
MovieRental 3/1
Blu-Ray 2/16
Shoes 6/23
Lamp 1/20
Song 3/25
Blu-Ray 6/20
Song 5/8
Shoes 6/3
Textbook 10/18
Textbook 12/20
Textbook 7/21
Song 1/10
Blu-Ray 10/20
Phone 2/24
Blu-Ray 12/18
Blu-Ray 4/18
Blu-Ray 2/26
MovieRental 5/24
Textbook 2/4
Lamp 12/1
Blu-Ray 6/26
Lamp 12/4
MovieRental 5/1
Lamp 7/9
MovieRental 12/13
Phone 6/13
Song 1/8
Phone 7/17
MovieRental 10/14
Lamp 7/19
Phone 10/26
MovieRental 11/26
Shoes 1/15
Shoes 6/17
Textbook 11/16
Phone 7/8
Textbook 3/7
Shoes 2/21
MovieRental 7/8
Textbook 7/8
Song 2/20
Song 7/8
MovieRental 9/24
Lamp 1/19
Song 6/15
Song 4/1
Lamp 6/7
Blu-Ray 11/12
Lamp 2/18
Song 10/26
Phone 9/21
MovieRental 8/5
Shoes 10/1
Song 5/3
Blu-Ray 3/14
Phone 4/2
Shoes 4/21
Phone 8/11
Phone 9/21
Shoes 7/11
Lamp 1/15
Song 3/15
Textbook 7/17
Phone 3/20
Shoes 8/24
MovieRental 4/14
Textbook 11/17
Blu-Ray 9/22
Blu-Ray 3/1
Song 7/19
Blu-Ray 12/9
Blu-Ray 10/16
Blu-Ray 2/10
