ClientId: 1032
Shoes 4/20
Song 11/24
Phone 9/5
Lamp 9/3
Shoes 11/21
Phone 4/1
Blu-Ray 6/1
Song 11/23
Song 7/10
Textbook 4/16
Phone 10/5
Lamp 4/2
Shoes 3/16
Lamp 1/25
Textbook 6/9
MovieRental 2/12
Blu-Ray 6/11
Phone 12/6
Shoes 8/12
Lamp 10/2
Textbook 2/3
Phone 9/1
MovieRental 1/20
Phone 8/9
Phone 7/5
MovieRental 8/5
Textbook 7/24
Textbook 5/17
Blu-Ray 11/5
Shoes 10/6
MovieRental 10/3
Lamp 4/26
Phone 2/1
Song 4/24
Blu-Ray 8/23
Phone 2/2
Phone 11/18
Blu-Ray 10/5
Lamp 8/15
MovieRental 10/22
Phone 7/6
Blu-Ray 4/23
Phone 3/2
Phone 5/19
Shoes 11/6
Song 4/9
Shoes 9/4
Textbook 11/5
Shoes 6/19
Lamp 3/1
Blu-Ray 7/13
Phone 10/9
Shoes 12/24
Shoes 9/24
Shoes 7/16
Lamp 8/6
Lamp 5/19
MovieRental 1/15
Lamp 6/21
MovieRental 5/21
Blu-Ray 2/13
Lamp 2/14
Blu-Ray 11/11
MovieRental 3/18
Shoes 10/15
Lamp 1/5
Textbook 4/10
Blu-Ray 6/14
Lamp 11/17
Shoes 7/21
Textbook 5/23
Shoes 10/5
Lamp 3/13
Textbook 6/11
MovieRental 4/19
Song 4/21
Lamp 6/22
Phone 12/6
Phone 11/3
Song 10/8
Song 5/12
Song 1/24
Song 6/2
MovieRental 4/2
Shoes 4/23
Textbook 7/16
Phone 6/1
Blu-Ray 12/17
Phone 2/9
Blu-Ray 11/8
Phone 1/4
Blu-Ray 1/12
Shoes 3/20
Shoes 6/13
MovieRental 8/18
Lamp 4/10
Song 12/18
Blu-Ray 5/25
Blu-Ray 1/26
Song 4/2
Textbook 10/24
MovieRental 7/20
Blu-Ray 9/21
Textbook 4/26
Shoes 12/12
MovieRental 3/13
Lamp 2/8
MovieRental 8/16
Lamp 3/10
Song 7/10
MovieRental 11/26
Blu-Ray 1/11
Textbook 12/3
MovieRental 11/8
MovieRental 2/16
Song 5/4
Blu-Ray 6/20
Lamp 5/5
Song 7/6
Phone 12/24
