ClientId: 1033
Song 12/14
Shoes 6/7
Blu-Ray 2/22
Song 2/6
Lamp 6/12
Blu-Ray 11/16
Phone 11/16
Blu-Ray 11/17
Lamp 3/21
Song 4/11
MovieRental 6/2
Textbook 3/17
Shoes 10/12
Blu-Ray 8/22
Blu-Ray 5/19
Blu-Ray 12/16
Lamp 12/22
Song 2/24
Textbook 7/14
Blu-Ray 3/15
MovieRental 5/7
Shoes 1/18
Textbook 2/13
Lamp 12/23
Textbook 1/22
Lamp 1/15
Song 1/17
Shoes 11/9
Lamp 2/2
Lamp 3/5
Textbook 3/2
MovieRental 2/26
Shoes 5/15
MovieRental 12/20
Lamp 5/21
Blu-Ray 2/17
MovieRental 3/25
Shoes 11/9
Blu-Ray 3/15
Blu-Ray 5/9
Lamp 6/9
Song 8/8
MovieRental 7/11
Blu-Ray 10/3
Song 9/18
Phone 11/21
Song 6/2
Phone 6/17
MovieRental 8/5
Blu-Ray 7/26
Phone 8/12
Shoes 7/19
Phone 12/5
Textbook 9/5
Phone 11/5
Blu-Ray 8/4
MovieRental 3/14
Textbook 4/15
Shoes 12/18
Textbook 8/1
MovieRental 5/18
Phone 10/25
Phone 10/22
Phone 1/15
Phone 4/24
Blu-Ray 2/10
Blu-Ray 4/10
Lamp 4/3
Lamp 7/8
Lamp 12/7
Blu-Ray 10/1
MovieRental 10/12
Textbook 10/3
Lamp 7/22
Song 11/15
Shoes 7/5
Textbook 4/14
Shoes 1/8
Shoes 10/14
Song 8/11
Song 9/10
Textbook 1/7
Textbook 7/3
MovieRental 8/25
Phone 7/9
Textbook 7/26
MovieRental 10/21
Textbook 6/20
Song 1/3
Shoes 5/26
MovieRental 11/12
Lamp 9/18
Song 7/13
Shoes 11/18
MovieRental 5/16
Blu-Ray 5/18
Song 6/22
Textbook 3/13
Song 2/17
Shoes 10/1
Song 12/13
Song 7/21
Blu-Ray 7/19
Song 5/26
Shoes 4/24
Blu-Ray 12/7
Phone 9/8
Phone 2/19
Shoes 12/12
Textbook 12/21
Phone 11/4
Phone 2/26
Phone 7/1
Blu-Ray 1/13
Blu-Ray 11/3
Blu-Ray 10/24
Phone 9/20
Textbook 1/12
Shoes 4/16
Song 12/25
Phone 6/1
Lamp 10/9
Lamp 7/1
Phone 6/24
Lamp 12/17
Shoes 2/9
Phone 3/13
Shoes 7/23
Lamp 6/14
Phone 4/21
MovieRental 11/12
Textbook 11/26
Blu-Ray 11/14
Textbook 2/13
Lamp 2/22
Blu-Ray 8/23
Lamp 11/20
MovieRental 4/20
MovieRental 5/16
MovieRental 8/7
Textbook 5/4
Shoes 2/16
Phone 6/22
Blu-Ray 11/25
MovieRental 4/14
Shoes 6/6
MovieRental 8/5
Shoes 9/7
Phone 4/3
MovieRental 1/25
Shoes 8/12
Blu-Ray 8/19
Lamp 10/6
Phone 11/18
Blu-Ray 7/21
Song 3/10
MovieRental 12/13
Shoes 7/15
Lamp 10/8
Song 11/5
Shoes 9/12
Lamp 8/12
Blu-Ray 11/14
Textbook 8/18
Textbook 4/13
Phone 11/24
MovieRental 9/1
MovieRental 1/23
Shoes 7/24
Lamp 2/4
Blu-Ray 3/17
Song 8/25
Shoes 11/14
Shoes 5/14
Song 2/23
Blu-Ray 12/20
Lamp 3/14
Lamp 1/18
Blu-Ray 10/21
Shoes 5/8
Phone 10/13
Lamp 4/5
Textbook 4/14
Phone 11/1
MovieRental 6/17
Song 1/9
Song 2/14
Lamp 9/11
Lamp 7/7
MovieRental 10/14
Song 3/10
Textbook 9/13
Blu-Ray 2/12
Lamp 4/2
Textbook 6/23
Song 11/21
Blu-Ray 3/17
Phone 4/5
Blu-Ray 6/26
Lamp 2/5
