ClientId: 1018
Song 9/19
Song 11/20
MovieRental 10/19
MovieRental 5/7
Shoes 5/7
Textbook 11/22
MovieRental 3/2
Phone 11/23
Shoes 8/24
Lamp 12/16
Textbook 9/26
Phone 11/20
Blu-Ray 12/3
Phone 2/14
Phone 1/10
Shoes 4/10
Lamp 3/2
MovieRental 5/13
Textbook 3/20
Lamp 11/15
Lamp 12/26
Song 1/15
Song 6/3
Textbook 4/17
Textbook 6/6
Lamp 2/22
Shoes 6/23
Textbook 4/10
Shoes 3/12
Lamp 8/16
Blu-Ray 3/20
MovieRental 9/8
Shoes 8/8
Textbook 5/3
MovieRental 11/22
Lamp 2/19
Blu-Ray 1/10
Lamp 8/6
Blu-Ray 4/17
Blu-Ray 5/22
Song 9/6
Textbook 11/14
Shoes 8/21
Shoes 7/24
Lamp 10/10
Phone 7/6
Song 4/12
Blu-Ray 8/16
Phone 3/12
Textbook 7/1
Blu-Ray 11/12
Blu-Ray 9/6
Blu-Ray 10/11
MovieRental 11/10
Blu-Ray 3/5
MovieRental 3/2
Song 6/16
Textbook 8/4
Lamp 6/2
Lamp 4/21
Shoes 10/2
Lamp 7/19
Lamp 3/15
Shoes 5/21
Blu-Ray 8/11
Textbook 10/2
Lamp 5/24
Textbook 7/10
MovieRental 10/24
Song 11/24
Song 9/19
Song 3/1
MovieRental 10/8
Song 11/11
Shoes 8/24
Blu-Ray 11/11
Shoes 5/24
Song 2/12
Song 8/21
MovieRental 10/12
Blu-Ray 9/15
Textbook 6/19
MovieRental 3/13
Shoes 8/14
Lamp 12/26
Lamp 2/14
MovieRental 7/19
Shoes 11/17
Textbook 6/23
MovieRental 6/11
Song 1/16
Lamp 1/16
Blu-Ray 12/21
Lamp 5/18
Lamp 4/5
Song 4/16
Song 8/4
Textbook 6/23
Song 6/12
Blu-Ray 4/23
Phone 8/19
Blu-Ray 4/12
Phone 10/7
MovieRental 4/13
MovieRental 1/10
Textbook 1/23
Lamp 5/15
Blu-Ray 9/12
Song 1/23
Shoes 6/1
Lamp 12/3
Phone 6/20
MovieRental 6/7
Phone 10/26
Shoes 3/4
Song 9/24
Textbook 7/13
MovieRental 9/18
Phone 3/11
Lamp 12/21
Textbook 4/10
Song 4/12
Song 3/20
Blu-Ray 7/4
Phone 5/20
Song 2/10
Textbook 5/11
Lamp 8/10
Song 8/9
MovieRental 9/22
Textbook 9/17
Shoes 8/14
Blu-Ray 9/9
Blu-Ray 7/3
Song 2/1
Blu-Ray 8/18
Shoes 1/10
Phone 1/12
Lamp 7/25
Lamp 5/8
MovieRental 2/20
Blu-Ray 8/13
MovieRental 9/1
Song 5/9
Song 12/7
Lamp 3/9
Blu-Ray 3/8
Song 4/9
Song 12/20
Song 4/6
Song 10/18
Shoes 2/18
Shoes 12/25
Textbook 5/20
Blu-Ray 12/2
Lamp 2/19
Textbook 5/21
Textbook 3/13
Lamp 7/7
MovieRental 8/5
Textbook 12/24
MovieRental 3/16
Song 1/20
Shoes 12/3
Shoes 11/19
Shoes 6/22
Song 1/1
MovieRental 12/11
Blu-Ray 11/23
Shoes 11/25
Blu-Ray 2/7
Phone 12/18
Shoes 4/26
Textbook 7/2
Textbook 10/18
Shoes 1/25
Textbook 5/22
Textbook 5/11
Song 12/2
MovieRental 4/10
Textbook 10/22
Song 8/23
MovieRental 6/20
Lamp 5/9
Textbook 12/21
Blu-Ray 11/20
MovieRental 4/25
Shoes 9/7
Blu-Ray 4/4
Phone 7/14
Shoes 9/23
