ClientId: 1008
Blu-Ray 5/17
Blu-Ray 12/10
Lamp 1/6
Phone 3/19
Shoes 11/22
Phone 12/25
Shoes 1/4
Lamp 3/17
Phone 7/11
Song 10/4
Song 7/9
Lamp 3/15
Song 4/8
Shoes 5/21
MovieRental 3/19
Phone 9/18
Lamp 2/25
MovieRental 1/16
Song 7/25
Textbook 3/15
Textbook 4/5
MovieRental 12/6
MovieRental 5/3
Shoes 7/13
MovieRental 8/4
Textbook 3/14
MovieRental 7/3
Textbook 7/3
Phone 2/13
Textbook 8/3
Lamp 5/13
Blu-Ray 3/26
Lamp 2/21
Textbook 2/22
Phone 5/6
Blu-Ray 6/10
Lamp 4/17
Textbook 4/13
Shoes 3/16
Phone 10/17
Blu-Ray 2/23
Phone 2/11
Shoes 12/18
Blu-Ray 12/14
Textbook 2/20
Lamp 8/18
Textbook 1/17
MovieRental 8/19
Textbook 3/7
Textbook 5/19
Phone 2/22
Phone 5/14
MovieRental 9/24
Phone 2/23
Phone 5/18
Song 11/10
MovieRental 4/4
Song 5/17
Shoes 1/25
Song 6/20
MovieRental 9/5
Phone 9/1
Song 3/22
Shoes 3/24
Textbook 1/11
Song 3/16
Blu-Ray 10/9
Shoes 6/25
Blu-Ray 4/16
MovieRental 2/24
Shoes 8/20
Lamp 9/5
Blu-Ray 2/6
MovieRental 8/26
Phone 2/6
Blu-Ray 9/19
Phone 9/22
Phone 1/13
Blu-Ray 9/19
Song 3/20
Phone 10/23
Textbook 10/10
Textbook 8/8
Song 11/18
Song 6/4
MovieRental 3/8
Textbook 9/3
Shoes 9/16
Lamp 6/10
Shoes 10/26
Song 4/12
Lamp 8/8
Blu-Ray 12/18
Textbook 9/4
MovieRental 12/26
Lamp 12/5
Phone 9/19
Blu-Ray 10/11
Phone 4/5
Phone 4/13
Textbook 2/7
Textbook 10/21
Textbook 11/9
Shoes 9/10
MovieRental 6/14
Textbook 3/15
Lamp 7/22
Song 3/21
MovieRental 2/20
MovieRental 11/12
Song 3/9
MovieRental 6/1
MovieRental 1/22
Blu-Ray 3/20
MovieRental 1/10
Blu-Ray 8/16
Lamp 12/13
MovieRental 1/8
Lamp 6/5
Blu-Ray 2/13
MovieRental 3/25
Song 7/10
