ClientId: 1015
Song 5/4
Phone 2/9
Blu-Ray 3/13
Song 12/7
Textbook 6/2
Phone 4/8
Shoes 4/5
Blu-Ray 1/17
Textbook 3/5
MovieRental 10/18
Phone 3/19
Textbook 9/23
Blu-Ray 10/12
Phone 9/16
Song 4/6
Textbook 6/18
Lamp 3/6
MovieRental 4/8
Song 8/3
Lamp 4/10
Shoes 3/18
Phone 6/1
Lamp 2/23
MovieRental 1/4
Shoes 2/16
Textbook 9/9
Lamp 6/15
Phone 9/12
Song 8/4
Shoes 9/7
Phone 6/21
Phone 6/16
MovieRental 3/10
MovieRental 2/14
Blu-Ray 1/5
Lamp 3/4
Phone 1/25
Textbook 9/12
Lamp 2/16
Blu-Ray 2/18
MovieRental 6/24
Lamp 5/18
Blu-Ray 9/1
Lamp 3/3
Blu-Ray 10/23
Blu-Ray 10/3
Shoes 5/20
Phone 12/12
Blu-Ray 3/18
Blu-Ray 11/17
Phone 12/19
Phone 5/11
Shoes 12/19
Textbook 5/17
Blu-Ray 11/26
Song 4/20
Phone 6/16
Lamp 4/12
Phone 6/3
Lamp 10/17
Song 1/26
Blu-Ray 9/16
Song 5/11
Lamp 12/14
Lamp 2/8
Blu-Ray 3/1
Textbook 5/15
Song 1/23
Phone 11/17
Phone 8/12
Phone 10/17
Textbook 10/15
MovieRental 11/3
Lamp 8/26
Song 10/9
Lamp 3/26
MovieRental 3/10
Lamp 12/3
Shoes 10/26
Blu-Ray 5/10
Shoes 6/24
Phone 1/8
Shoes 4/13
Song 5/23
Textbook 2/5
MovieRental 7/21
Textbook 6/13
Lamp 4/16
Shoes 12/18
Phone 5/13
MovieRental 6/5
Blu-Ray 7/23
Lamp 7/6
MovieRental 4/7
Blu-Ray 12/6
MovieRental 10/23
Phone 12/12
Blu-Ray 4/7
Textbook 12/22
Phone 4/24
Textbook 1/4
Blu-Ray 8/3
MovieRental 5/15
Song 9/5
Lamp 12/15
Lamp 2/7
Lamp 8/24
Shoes 12/21
Phone 4/16
MovieRental 7/6
Lamp 1/9
Phone 9/6
Lamp 12/25
Textbook 12/16
Lamp 5/17
Blu-Ray 2/25
Blu-Ray 7/23
MovieRental 1/17
Phone 4/8
Textbook 2/12
MovieRental 11/12
Lamp 4/18
Shoes 6/25
Textbook 7/23
Shoes 1/13
Textbook 10/23
MovieRental 2/8
Lamp 2/11
Blu-Ray 11/13
Shoes 6/26
Textbook 7/14
Lamp 9/20
Shoes 7/23
Phone 10/22
MovieRental 2/9
Lamp 9/17
MovieRental 9/10
Phone 7/24
Song 12/13
MovieRental 1/20
MovieRental 3/25
Blu-Ray 3/13
Blu-Ray 5/6
Lamp 11/10
Song 11/14
Textbook 6/13
Song 12/6
Shoes 3/12
Textbook 5/2
Shoes 3/25
Lamp 7/18
Lamp 10/16
Blu-Ray 12/20
Phone 3/26
Lamp 10/8
Blu-Ray 5/25
Textbook 4/10
Lamp 3/19
Blu-Ray 11/2
Blu-Ray 1/15
MovieRental 2/14
Song 8/16
Textbook 12/15
Phone 5/1
Phone 12/11
Song 11/24
Blu-Ray 10/13
Phone 11/1
Textbook 4/20
Song 4/20
Lamp 11/16
Song 4/18
MovieRental 4/24
MovieRental 3/5
Shoes 3/13
Lamp 7/22
Song 8/11
Shoes 11/18
Blu-Ray 11/18
Textbook 8/22
Lamp 1/7
Phone 4/19
Shoes 7/24
Phone 7/3
Lamp 5/20
Textbook 4/4
Textbook 10/24
Song 11/14
Blu-Ray 11/13
Shoes 6/10
Textbook 8/8
Shoes 5/4
Lamp 5/9
Song 6/26
Textbook 12/21
MovieRental 2/8
MovieRental 9/13
Textbook 12/25
Textbook 8/4
MovieRental 1/24
Lamp 6/7
Song 4/4
Lamp 3/21
MovieRental 4/17
Song 1/3
Shoes 8/1
Lamp 2/20
Phone 6/12
Phone 4/5
Song 10/18
Textbook 3/18
Textbook 1/4
MovieRental 2/25
Song 1/18
MovieRental 7/6
Textbook 9/5
Lamp 12/10
Textbook 6/11
Phone 1/21
Textbook 4/11
Shoes 12/11
Lamp 8/20
Textbook 8/11
Textbook 10/8
Lamp 8/17
Shoes 4/5
Textbook 11/11
Textbook 5/4
Phone 2/25
Song 12/8
Textbook 5/15
Blu-Ray 3/20
Shoes 4/25
Blu-Ray 3/2
Song 1/5
MovieRental 12/22
Textbook 12/9
Blu-Ray 10/23
Textbook 11/13
Blu-Ray 4/5
Phone 6/15
MovieRental 6/15
Blu-Ray 12/6
Lamp 6/7
Lamp 9/11
Lamp 2/8
Phone 3/26
Phone 9/22
Blu-Ray 11/26
Blu-Ray 1/21
Shoes 1/18
Phone 4/20
Textbook 8/18
Lamp 5/11
Song 4/12
Phone 4/24
Blu-Ray 4/5
Textbook 3/20
Textbook 5/16
Phone 3/17
Song 6/25
Blu-Ray 10/4
MovieRental 8/4
Shoes 8/13
Textbook 9/12
Song 6/2
MovieRental 9/25
Phone 10/1
Song 5/5
Lamp 5/3
Phone 5/16
Blu-Ray 4/9
Lamp 6/21
MovieRental 6/24
Phone 10/2
Song 7/18
Textbook 10/16
Song 7/5
Shoes 11/13
Shoes 7/2
MovieRental 4/14
Textbook 10/9
MovieRental 8/12
Shoes 6/4
Song 6/19
Song 1/7
Shoes 11/21
Textbook 1/14
Textbook 11/7
Lamp 9/12
Lamp 6/22
Shoes 6/20
Shoes 10/20
Blu-Ray 1/13
Textbook 5/21
MovieRental 1/16
Shoes 5/24
Shoes 4/1
