ClientId: 1024
Lamp 1/26
Lamp 2/11
Textbook 10/17
Textbook 9/1
Phone 5/6
Lamp 11/12
Shoes 7/6
MovieRental 7/13
Song 5/1
MovieRental 7/7
MovieRental 4/2
Blu-Ray 5/5
MovieRental 9/1
MovieRental 4/1
Song 1/24
Phone 4/6
Phone 2/25
Song 4/7
Textbook 10/24
Song 3/18
Phone 1/7
Song 5/1
Phone 4/11
Phone 9/16
Lamp 10/22
Textbook 6/2
Song 4/6
Phone 6/11
Shoes 10/11
Lamp 7/8
Phone 9/1
Lamp 8/16
Shoes 6/17
Song 11/22
MovieRental 4/12
Textbook 9/15
MovieRental 8/6
Lamp 9/26
Song 7/16
MovieRental 1/7
Shoes 5/17
Lamp 4/10
MovieRental 11/2
Lamp 2/3
Phone 5/15
Lamp 9/22
MovieRental 10/25
Lamp 9/4
MovieRental 11/8
Phone 4/22
MovieRental 12/2
Textbook 7/8
Lamp 9/25
Lamp 6/23
Lamp 11/1
Textbook 8/3
Blu-Ray 7/5
MovieRental 6/11
Lamp 1/12
Song 10/25
Lamp 9/10
Lamp 2/9
Song 6/4
Lamp 6/20
Shoes 7/6
Song 9/14
Shoes 8/16
Song 9/6
Textbook 8/22
MovieRental 4/8
Shoes 11/9
Lamp 5/23
Song 11/11
Shoes 10/16
Lamp 8/22
Song 1/24
Blu-Ray 9/14
Lamp 1/26
Shoes 2/1
MovieRental 3/22
Lamp 2/3
Phone 3/10
MovieRental 10/12
MovieRental 6/11
Phone 8/26
Song 5/20
Blu-Ray 7/5
Song 8/6
Song 1/10
MovieRental 4/11
Phone 2/8
MovieRental 7/4
Blu-Ray 1/26
Lamp 10/16
MovieRental 1/14
MovieRental 11/20
Shoes 2/2
Lamp 8/18
Song 11/26
Blu-Ray 8/4
Lamp 9/4
Lamp 6/3
Lamp 8/20
Song 3/1
Song 7/26
Shoes 11/26
MovieRental 11/3
Lamp 7/9
Textbook 9/10
Song 12/2
Textbook 9/24
MovieRental 11/11
Shoes 9/1
Lamp 4/2
Song 9/7
Blu-Ray 9/15
Phone 1/26
Phone 6/20
Phone 7/5
MovieRental 1/7
MovieRental 6/10
Shoes 11/9
Phone 6/20
Lamp 4/20
Phone 7/21
Shoes 7/19
Textbook 4/25
Song 9/18
Lamp 9/13
Shoes 7/25
Lamp 5/20
MovieRental 7/14
Shoes 10/24
Shoes 1/1
MovieRental 1/16
Phone 9/1
Lamp 9/12
Phone 8/21
Shoes 8/12
Lamp 3/10
Song 8/5
Shoes 6/20
Song 12/4
Song 9/23
Song 10/7
Lamp 4/5
Song 1/6
Phone 6/15
Blu-Ray 1/7
Textbook 2/22
Blu-Ray 4/16
Shoes 3/18
Song 12/4
Phone 4/24
Blu-Ray 6/4
Shoes 6/11
Phone 10/13
Song 5/11
MovieRental 5/14
Song 6/6
Blu-Ray 6/6
Shoes 11/15
Shoes 6/2
Blu-Ray 5/5
Textbook 11/22
Song 8/2
Shoes 2/15
Blu-Ray 10/7
Shoes 1/10
Blu-Ray 4/22
Phone 6/19
Shoes 5/4
Blu-Ray 6/18
Blu-Ray 12/1
Phone 2/11
Textbook 5/2
Blu-Ray 7/7
Textbook 3/2
Lamp 2/16
Song 8/6
Phone 3/6
Shoes 11/12
Textbook 4/17
Shoes 2/18
MovieRental 10/9
MovieRental 11/25
Textbook 10/26
Phone 4/7
Blu-Ray 7/19
Song 5/2
MovieRental 7/17
Phone 7/22
Phone 3/9
Shoes 7/2
