ClientId: 1036
MovieRental 4/13
Song 3/5
Phone 2/10
Blu-Ray 12/1
Song 8/26
Textbook 9/22
Textbook 9/12
Blu-Ray 1/24
Song 7/6
Phone 10/22
Lamp 8/26
Blu-Ray 12/17
Song 3/6
Blu-Ray 5/4
Shoes 6/20
Song 6/15
MovieRental 4/6
Blu-Ray 4/8
Phone 6/19
Blu-Ray 5/7
Textbook 10/16
Textbook 10/21
MovieRental 12/16
MovieRental 1/8
Song 3/2
Textbook 9/8
Shoes 2/23
Shoes 7/2
MovieRental 1/24
Lamp 6/23
Shoes 10/7
Phone 3/8
Textbook 6/13
Textbook 10/10
Shoes 12/9
MovieRental 8/1
MovieRental 3/2
MovieRental 1/8
Shoes 10/14
Blu-Ray 11/6
MovieRental 4/22
Blu-Ray 6/15
Shoes 11/25
Phone 9/16
Textbook 9/8
Song 11/21
MovieRental 1/16
Blu-Ray 5/17
Textbook 7/12
Song 4/20
Lamp 3/26
Blu-Ray 6/5
MovieRental 10/25
Textbook 3/24
Shoes 7/18
MovieRental 1/2
Lamp 7/24
Textbook 6/21
Blu-Ray 1/24
MovieRental 8/14
Phone 3/5
Song 1/26
Phone 1/21
Lamp 8/11
Textbook 6/2
Textbook 1/25
Blu-Ray 7/2
Blu-Ray 5/14
MovieRental 1/22
Song 10/1
Textbook 1/19
Phone 4/15
Song 10/19
Phone 2/12
Song 2/9
MovieRental 5/1
Textbook 6/19
Textbook 1/23
Blu-Ray 2/2
Phone 11/1
Lamp 10/23
Textbook 6/7
Blu-Ray 3/1
MovieRental 1/19
MovieRental 4/19
Shoes 11/14
Blu-Ray 10/25
Phone 3/14
Song 2/9
Textbook 4/18
MovieRental 7/12
Shoes 10/12
Blu-Ray 4/11
Phone 5/23
Lamp 3/20
Blu-Ray 1/5
Textbook 11/24
Phone 10/24
Phone 7/22
MovieRental 10/3
MovieRental 2/16
Phone 8/11
Phone 7/5
Song 9/16
Shoes 4/2
Textbook 7/2
Textbook 6/19
Song 4/20
Phone 4/25
Lamp 11/7
MovieRental 4/2
Song 7/9
Shoes 8/21
MovieRental 8/19
Textbook 10/17
Textbook 6/12
Song 3/3
Shoes 2/20
Textbook 9/17
Blu-Ray 2/12
Phone 11/19
Lamp 5/19
Phone 3/10
Shoes 5/5
Song 6/7
MovieRental 6/1
Lamp 9/12
Blu-Ray 11/4
Shoes 9/26
Lamp 4/9
Phone 9/21
Blu-Ray 6/11
Song 5/11
Phone 11/9
Lamp 11/10
MovieRental 5/11
Lamp 3/21
Phone 11/20
Song 2/13
Shoes 1/1
MovieRental 1/23
Textbook 12/22
Phone 9/8
Lamp 9/9
Blu-Ray 6/24
Textbook 9/16
Textbook 9/9
Shoes 5/5
Lamp 7/16
Phone 11/9
Song 10/11
Phone 10/26
Shoes 6/24
MovieRental 8/6
Song 2/7
Blu-Ray 5/7
Song 8/12
Phone 6/26
Textbook 2/4
Textbook 9/26
Shoes 5/22
Phone 11/11
Phone 8/9
Song 6/1
Song 4/12
MovieRental 6/20
Shoes 11/5
Textbook 9/26
Song 2/23
Lamp 4/19
Shoes 2/2
Song 10/14
Textbook 7/8
Lamp 4/5
Blu-Ray 11/1
Lamp 6/4
Textbook 4/9
MovieRental 9/15
Phone 7/15
Lamp 10/20
Lamp 12/13
Shoes 11/4
Song 7/21
Blu-Ray 8/5
Blu-Ray 12/8
Phone 6/7
Phone 3/22
Shoes 5/14
Lamp 10/22
Shoes 7/13
Textbook 8/18
Lamp 7/25
Textbook 11/25
Textbook 7/8
Lamp 12/10
Lamp 11/16
Phone 2/20
Lamp 6/19
Textbook 9/2
Textbook 4/2
Phone 10/10
MovieRental 9/10
Phone 10/1
Phone 10/23
Phone 4/9
Lamp 9/13
Phone 3/18
MovieRental 5/9
Lamp 8/22
Lamp 12/25
Lamp 9/15
Textbook 12/12
Textbook 1/24
Lamp 6/26
Lamp 5/3
Song 3/4
Song 9/14
Shoes 5/16
Phone 2/7
Textbook 11/7
Textbook 8/6
Textbook 5/8
Shoes 1/3
Song 2/17
Shoes 10/12
Blu-Ray 12/21
Song 10/5
Blu-Ray 11/13
Blu-Ray 11/10
Phone 2/16
Blu-Ray 6/19
Textbook 10/8
Song 3/23
Phone 6/13
Textbook 3/16
MovieRental 12/20
Song 6/21
Song 5/19
Blu-Ray 4/13
MovieRental 3/2
Song 9/23
Phone 7/10
Blu-Ray 5/10
Textbook 5/7
Textbook 4/26
Lamp 3/8
Lamp 8/24
Song 12/3
Phone 12/16
Phone 7/12
Textbook 3/19
Textbook 1/17
Lamp 6/14
Blu-Ray 10/20
MovieRental 10/21
Song 6/6
MovieRental 11/19
Song 11/12
Textbook 9/7
Textbook 3/19
Shoes 11/23
Blu-Ray 11/2
Phone 10/3
Textbook 8/9
Textbook 4/17
Phone 3/6
Song 8/15
Song 10/10
Blu-Ray 3/25
Blu-Ray 12/6
Song 7/16
Song 11/16
Phone 9/20
Textbook 12/11
Blu-Ray 5/3
Textbook 4/9
Blu-Ray 12/18
MovieRental 11/19
Textbook 12/3
Phone 2/18
Shoes 10/10
Lamp 6/18
Textbook 3/7
Lamp 9/2
Lamp 1/22
MovieRental 4/1
Blu-Ray 7/4
Lamp 1/7
Lamp 1/24
Shoes 7/1
MovieRental 1/11
Textbook 11/2
